experiment_phase,condition_id,replicate,condition_order,matrix_seed,run_tag,run_id,mode,requested_algorithm,selected_algorithms,load,network_load_pct,state_cpu_pct,state_memory_pct,publisher_start_spread_ms,max_publisher_start_lateness_ms,devices,messages_per_device,payload_bytes,messages_expected,messages_received,message_loss_pct,authentication_failures,mean_encryption_ms,mean_decryption_ms,mean_e2e_latency_ms,p95_e2e_latency_ms,throughput_mbps,mean_process_cpu_pct,mean_rss_mb,estimated_energy_j
final,adaptive__high__d10__p1024,17,81,20260905,final_adaptive__high__d10__p1024_rep17_ord81_r1832_adaptive_high_d10_p1024_cpu20_mem30_1788653981,1832,adaptive,adaptive,"{""AES-128-GCM"": 200}",high,80.0,20.0,30.0,13.415010995231569,13.416080000752117,10,20,1024,200,200,0.0,0,0.870634905,0.10228716,10.72307758,24.685469,8.422664825384537,10.494613598069913,33.010546875,1.0499999999999996
final,adaptive__medium__d10__p4096,17,82,20260905,final_adaptive__medium__d10__p4096_rep17_ord82_r1824_adaptive_medium_d10_p4096_cpu20_mem30_1788653995,1824,adaptive,adaptive,"{""AES-256-GCM"": 200}",medium,50.0,20.0,30.0,6.17789199895924,6.178301999170799,10,20,4096,200,200,0.0,0,0.32066575999999997,0.07287790499999999,8.67421098,10.051338,17.002494029294773,5.2482950077155355,33.061328125,1.0500000000000003
final,fixed_chacha20__medium__d10__p4096,17,83,20260905,final_fixed_chacha20__medium__d10__p4096_rep17_ord83_r1797_fixed_medium_d10_p4096_cpu20_mem30_1788654011,1797,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 200}",medium,50.0,20.0,30.0,9.91319099557586,9.931745000358205,10,20,4096,200,200,0.0,0,0.96910458,0.119420825,11.973460025,23.657886,17.128808556835786,5.7483773827610545,33.108203125,1.1499999999999995
final,fixed_aes128__high__d5__p1024,17,84,20260905,final_fixed_aes128__high__d5__p1024_rep17_ord84_r1748_fixed_high_d5_p1024_cpu20_mem30_1788654025,1748,fixed,AES-128-GCM,"{""AES-128-GCM"": 100}",high,80.0,20.0,30.0,3.896024005371146,3.8968450026004575,5,20,1024,100,100,0.0,0,0.6351621599999999,0.09214105,9.692577179999999,16.266627,4.382639596343979,11.988396465224179,32.95234375,0.5999999999999986
final,fixed_aes256__low__d5__p256,17,85,20260905,final_fixed_aes256__low__d5__p256_rep17_ord85_r1756_fixed_low_d5_p256_cpu20_mem30_1788654039,1756,fixed,AES-256-GCM,"{""AES-256-GCM"": 100}",low,20.0,20.0,30.0,0.518221000675112,0.5196290003368631,5,20,256,100,100,0.0,0,0.66700351,0.17644811999999999,11.14209248,14.075072,0.10792753424511005,2.099608559352097,33.025,1.0499999999999998
final,fixed_chacha20__high__d10__p1024,17,86,20260905,final_fixed_chacha20__high__d10__p1024_rep17_ord86_r1805_fixed_high_d10_p1024_cpu20_mem30_1788654054,1805,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 200}",high,80.0,20.0,30.0,7.193434998043813,7.194830999651458,10,20,1024,200,200,0.0,0,1.0772074200000001,0.17043617,12.712411385000001,33.149515,8.370683711585809,12.490335705584027,33.124609375,1.25
final,adaptive__high__d5__p1024,17,87,20260905,final_adaptive__high__d5__p1024_rep17_ord87_r1829_adaptive_high_d5_p1024_cpu20_mem30_1788654068,1829,adaptive,adaptive,"{""AES-128-GCM"": 100}",high,80.0,20.0,30.0,2.313270997547079,2.3144290025811642,5,20,1024,100,100,0.0,0,0.56305743,0.21823147,12.23698125,29.038175,4.315384798785643,10.993023989616523,33.07265625,0.5500000000000003
final,fixed_aes128__low__d20__p1024,17,88,20260905,final_fixed_aes128__low__d20__p1024_rep17_ord88_r1736_fixed_low_d20_p1024_cpu20_mem30_1788654082,1736,fixed,AES-128-GCM,"{""AES-128-GCM"": 400}",low,20.0,20.0,30.0,23.545187003037427,23.54628600005526,20,20,1024,400,400,0.0,0,1.4649232525,0.0970932125,10.83307024,17.867764,1.7302020591814606,1.2998670208006637,33.049609375,2.599999999999999
final,fixed_aes256__high__d20__p4096,17,89,20260905,final_fixed_aes256__high__d20__p4096_rep17_ord89_r1782_fixed_high_d20_p4096_cpu20_mem30_1788654100,1782,fixed,AES-256-GCM,"{""AES-256-GCM"": 400}",high,80.0,20.0,30.0,24.134322004101705,24.13552600046387,20,20,4096,400,400,0.0,0,1.666701975,0.06253382,185.21190650749998,210.869969,37.13729452275364,11.484328568008113,33.098046875,2.2999999999999985
final,adaptive__low__d10__p1024,17,90,20260905,final_adaptive__low__d10__p1024_rep17_ord90_r1814_adaptive_low_d10_p1024_cpu20_mem30_1788654118,1814,adaptive,adaptive,"{""AES-256-GCM"": 200}",low,20.0,20.0,30.0,7.186159004049841,7.186633003584575,10,20,1024,200,200,0.0,0,0.37352393,0.136121655,10.233571055,12.306208,0.8571983720407668,2.0496806721465033,33.089453125,2.0499999999999994
